nohup: ignoring input
Total docs (missing docs only): 2255299
Processed 160000/2255299 (7.09%) | 3748.5 docs/s | ETA 00:09:18
Committed intermediate batch
Processed 162000/2255299 (7.18%) | 3707.4 docs/s | ETA 00:09:24
Processed 164000/2255299 (7.27%) | 3714.1 docs/s | ETA 00:09:23
Processed 166000/2255299 (7.36%) | 3719.3 docs/s | ETA 00:09:21
Processed 168000/2255299 (7.45%) | 3724.3 docs/s | ETA 00:09:20
Processed 170000/2255299 (7.54%) | 3720.3 docs/s | ETA 00:09:20
Processed 172000/2255299 (7.63%) | 3719.9 docs/s | ETA 00:09:20
Processed 174000/2255299 (7.72%) | 3721.3 docs/s | ETA 00:09:19
Processed 176000/2255299 (7.80%) | 3717.5 docs/s | ETA 00:09:19
Processed 178000/2255299 (7.89%) | 3716.5 docs/s | ETA 00:09:18
Processed 180000/2255299 (7.98%) | 3716.5 docs/s | ETA 00:09:18
Committed intermediate batch
Processed 182000/2255299 (8.07%) | 3670.4 docs/s | ETA 00:09:24
Processed 184000/2255299 (8.16%) | 3673.0 docs/s | ETA 00:09:23
Processed 186000/2255299 (8.25%) | 3672.7 docs/s | ETA 00:09:23
Processed 188000/2255299 (8.34%) | 3675.5 docs/s | ETA 00:09:22
Processed 190000/2255299 (8.42%) | 3677.5 docs/s | ETA 00:09:21
Processed 192000/2255299 (8.51%) | 3677.9 docs/s | ETA 00:09:21
Processed 194000/2255299 (8.60%) | 3674.9 docs/s | ETA 00:09:20
Processed 196000/2255299 (8.69%) | 3676.5 docs/s | ETA 00:09:20
Processed 198000/2255299 (8.78%) | 3674.1 docs/s | ETA 00:09:19
Processed 200000/2255299 (8.87%) | 3673.8 docs/s | ETA 00:09:19
Committed intermediate batch
Processed 202000/2255299 (8.96%) | 3630.1 docs/s | ETA 00:09:25
Processed 204000/2255299 (9.05%) | 3633.8 docs/s | ETA 00:09:24
Processed 206000/2255299 (9.13%) | 3637.1 docs/s | ETA 00:09:23
Processed 208000/2255299 (9.22%) | 3636.3 docs/s | ETA 00:09:23
Processed 210000/2255299 (9.31%) | 3639.7 docs/s | ETA 00:09:21
Processed 212000/2255299 (9.40%) | 3644.0 docs/s | ETA 00:09:20
Processed 214000/2255299 (9.49%) | 3643.8 docs/s | ETA 00:09:20
Processed 216000/2255299 (9.58%) | 3647.1 docs/s | ETA 00:09:19
Processed 218000/2255299 (9.67%) | 3646.3 docs/s | ETA 00:09:18
Processed 220000/2255299 (9.75%) | 3648.0 docs/s | ETA 00:09:17
Committed intermediate batch
Processed 222000/2255299 (9.84%) | 3606.5 docs/s | ETA 00:09:23
Processed 224000/2255299 (9.93%) | 3613.4 docs/s | ETA 00:09:22
Processed 226000/2255299 (10.02%) | 3619.9 docs/s | ETA 00:09:20
Processed 228000/2255299 (10.11%) | 3621.3 docs/s | ETA 00:09:19
Processed 230000/2255299 (10.20%) | 3625.8 docs/s | ETA 00:09:18
Processed 232000/2255299 (10.29%) | 3630.8 docs/s | ETA 00:09:17
Processed 234000/2255299 (10.38%) | 3636.4 docs/s | ETA 00:09:15
Processed 236000/2255299 (10.46%) | 3639.6 docs/s | ETA 00:09:14
Processed 238000/2255299 (10.55%) | 3643.5 docs/s | ETA 00:09:13
Processed 240000/2255299 (10.64%) | 3647.7 docs/s | ETA 00:09:12
Committed intermediate batch
Processed 242000/2255299 (10.73%) | 3615.0 docs/s | ETA 00:09:16
Processed 244000/2255299 (10.82%) | 3619.0 docs/s | ETA 00:09:15
Processed 246000/2255299 (10.91%) | 3623.6 docs/s | ETA 00:09:14
Processed 248000/2255299 (11.00%) | 3627.0 docs/s | ETA 00:09:13
Processed 250000/2255299 (11.09%) | 3628.9 docs/s | ETA 00:09:12
Processed 252000/2255299 (11.17%) | 3631.1 docs/s | ETA 00:09:11
Processed 254000/2255299 (11.26%) | 3635.2 docs/s | ETA 00:09:10
Processed 256000/2255299 (11.35%) | 3637.9 docs/s | ETA 00:09:09
Processed 258000/2255299 (11.44%) | 3640.5 docs/s | ETA 00:09:08
Processed 260000/2255299 (11.53%) | 3644.1 docs/s | ETA 00:09:07
Committed intermediate batch
Processed 262000/2255299 (11.62%) | 3620.1 docs/s | ETA 00:09:10
Processed 264000/2255299 (11.71%) | 3624.0 docs/s | ETA 00:09:09
Processed 266000/2255299 (11.79%) | 3628.8 docs/s | ETA 00:09:08
Processed 268000/2255299 (11.88%) | 3633.7 docs/s | ETA 00:09:06
Processed 270000/2255299 (11.97%) | 3636.0 docs/s | ETA 00:09:06
Processed 272000/2255299 (12.06%) | 3640.4 docs/s | ETA 00:09:04
Processed 274000/2255299 (12.15%) | 3644.9 docs/s | ETA 00:09:03
Processed 276000/2255299 (12.24%) | 3647.8 docs/s | ETA 00:09:02
Processed 278000/2255299 (12.33%) | 3651.7 docs/s | ETA 00:09:01
Processed 280000/2255299 (12.42%) | 3655.2 docs/s | ETA 00:09:00
Committed intermediate batch
Processed 282000/2255299 (12.50%) | 3634.2 docs/s | ETA 00:09:02
Processed 284000/2255299 (12.59%) | 3638.8 docs/s | ETA 00:09:01
